"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
65,0.533,926.20862,183.21181,1208.81812,-240.24290,-97.01353,1295.31470,-982.26807,42.48718,1261.06006,77.37607,57.41456,61.55488,135.62733,-211.18375,-1.47739,-504.41559,218.13535,-5.18504,-1382.14526,-137.60513,-8.82170
66,0.542,925.89935,185.32707,1208.34326,-240.59233,-97.12405,1294.47290,-981.58551,44.12578,1259.02356,107.42709,53.49469,62.09908,122.04005,-210.22150,-1.46532,-518.46045,219.22708,-5.33740,-1395.28369,-135.54352,-8.47090
67,0.550,925.37433,187.44038,1208.47363,-240.81599,-97.17028,1293.46155,-980.86401,45.61999,1257.67310,137.72502,49.67325,62.62186,108.50798,-209.12671,-1.55585,-532.24286,220.37865,-5.57245,-1407.78760,-133.31677,-7.77924
68,0.558,924.62555,189.53012,1209.21375,-240.88339,-97.14082,1292.30371,-980.16516,46.92278,1256.99377,168.20023,46.01463,63.13445,94.98675,-207.86298,-1.77722,-545.81635,221.55589,-5.90902,-1419.75403,-131.71469,-6.50982
69,0.567,923.65424,191.57376,1210.55505,-240.76917,-97.03554,1291.03467,-979.53442,48.00074,1256.94360,198.78644,42.48190,63.57415,81.45165,-206.50533,-2.04670,-559.27020,222.77890,-6.25458,-1431.52344,-131.28865,-4.51881
70,0.575,922.47266,193.55231,1212.48242,-240.47118,-96.86377,1289.69141,-978.98962,48.84428,1257.46863,229.45316,38.95361,63.81317,67.94854,-205.19522,-2.24446,-572.64484,224.08382,-6.49003,-1443.20850,-131.65102,-1.79386
71,0.583,921.10114,195.45282,1214.98169,-240.02106,-96.65316,1288.30737,-978.52081,49.47211,1258.51282,260.22559,35.32676,63.71181,54.56278,-204.02426,-2.30205,-585.93195,225.45103,-6.58814,-1454.57629,-131.82634,1.63156
72,0.592,919.56171,197.26503,1218.03601,-239.47293,-96.45073,1286.91211,-978.09796,49.92933,1260.02087,291.15463,31.59175,63.18741,41.32346,-202.98634,-2.22530,-599.13531,226.79385,-6.61048,-1465.48340,-131.11774,5.65565
73,0.600,917.87012,198.97377,1221.61877,-238.88095,-96.30713,1285.53406,-977.67804,50.27908,1261.93713,322.29370,27.78625,62.21775,28.14872,-201.98854,-2.08331,-612.30768,228.05119,-6.62029,-1475.99219,-129.39429,10.08581
74,0.608,916.03369,200.55708,1225.69312,-238.28426,-96.25787,1284.20007,-977.21051,50.58628,1264.20593,353.74387,23.88170,60.80619,14.91946,-200.90764,-1.97810,-625.48047,229.25195,-6.64133,-1486.08301,-126.99467,14.75307
75,0.617,914.05658,201.99590,1230.21716,-237.69902,-96.31031,1282.93799,-976.64606,50.90604,1266.77747,385.69315,19.77718,59.00439,1.59561,-199.70213,-1.97853,-638.62598,230.45880,-6.67927,-1495.51208,-124.45262,19.60011
76,0.625,911.94696,203.28664,1235.14648,-237.11873,-96.44333,1281.77405,-975.94794,51.28096,1269.61475,418.28406,15.50287,57.04007,-11.77732,-198.44708,-2.07075,-651.74359,231.68901,-6.72316,-1503.76282,-122.07117,24.59405
77,0.633,909.72113,204.43991,1240.43396,-236.52539,-96.61815,1280.73022,-975.09711,51.74173,1272.69434,451.31213,11.42310,55.39495,-25.14504,-197.24660,-2.17738,-664.90564,232.87650,-6.75752,-1509.95117,-119.74964,29.46714
78,0.642,907.40186,205.46393,1246.02576,-235.89650,-96.78366,1279.82532,-974.09045,52.31074,1275.99683,483.97870,8.11773,54.56750,-38.48443,-196.14502,-2.22387,-678.17023,233.91316,-6.78464,-1512.87646,-117.08863,33.46357
79,0.650,905.01160,206.35535,1251.86267,-235.19942,-96.87666,1279.07397,-972.94122,52.99846,1279.49670,514.94122,6.07772,54.63071,-51.80053,-195.11365,-2.19276,-691.50159,234.77979,-6.79257,-1511.40576,-113.55196,35.60241
80,0.658,902.56439,207.10736,1257.88025,-234.39145,-96.83411,1278.48059,-971.68115,53.79654,1283.15820,542.75049,5.52159,55.00771,-65.12098,-194.10562,-2.12192,-704.83575,235.59781,-6.75408,-1505.11426,-108.78790,35.58389
81,0.667,900.06415,207.71918,1264.00964,-233.43535,-96.61526,1278.03577,-970.35925,54.68264,1286.93872,566.47772,6.31975,54.73836,-78.48927,-193.11075,-2.05689,-718.18774,236.49535,-6.68818,-1494.66150,-103.01884,34.31725
82,0.675,897.50854,208.20271,1270.18518,-232.31419,-96.21276,1277.72144,-969.03595,55.62460,1290.79272,586.08148,8.07195,53.10289,-91.94135,-192.13663,-2.01901,-731.61591,237.47774,-6.65036,-1481.47180,-97.05108,33.30972
83,0.683,894.89325,208.59052,1276.35522,-231.03920,-95.65034,1277.52209,-967.76923,56.58038,1294.67090,602.20160,10.40066,50.06213,-105.47166,-191.16534,-2.00835,-745.11993,238.47504,-6.64261,-1466.83569,-91.91286,33.60188
84,0.692,892.21570,208.92963,1282.48022,-229.65552,-94.97288,1277.44031,-966.59937,57.50631,1298.51978,615.59039,13.18533,46.13706,-119.04156,-190.17238,-2.00283,-758.65912,239.43210,-6.59945,-1451.07654,-88.43990,35.18135
85,0.700,889.48157,209.25618,1288.52686,-228.24010,-94.21938,1277.49768,-965.54547,58.36879,1302.28162,626.66833,16.49434,41.91722,-132.62769,-189.15585,-1.96700,-772.23059,240.31882,-6.48037,-1433.66174,-86.86108,37.14901
86,0.708,886.70679,209.57770,1294.46606,-226.88110,-93.39736,1277.71875,-964.61237,59.14842,1305.89758,635.45911,20.31768,37.62252,-146.23993,-188.11870,-1.89021,-785.84308,241.14780,-6.31129,-1413.98633,-86.79182,38.49007
