"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
76,0.625,920.02795,-261.03168,1539.35876,-57.52931,32.34380,1279.97046,-812.49023,57.77557,1306.57336,398.03137,-107.63087,-1.31953,136.95470,197.62680,161.73273,-663.85077,240.69615,-3.78806,-1026.46362,-120.31394,20.31421
77,0.633,922.68085,-260.93030,1534.92615,-59.41061,33.62411,1276.37988,-813.22974,58.21194,1303.56799,373.79660,-105.84580,-1.64295,163.31671,197.74725,163.88815,-688.47327,243.44986,-3.24614,-993.08563,-119.74969,20.97276
78,0.642,924.99170,-260.57397,1530.89612,-61.53069,35.14140,1273.28918,-813.95648,58.76514,1300.38184,349.67365,-104.06565,-1.98821,190.93243,197.79715,165.02536,-712.98108,245.56763,-2.98736,-959.50610,-118.13831,22.62127
79,0.650,926.89429,-259.98358,1527.34656,-63.71923,36.85739,1270.79675,-814.71765,59.35174,1297.07458,325.62997,-102.30476,-2.31478,219.72969,197.81766,164.99222,-737.32922,247.23415,-3.03175,-925.99554,-115.23392,24.98909
80,0.658,928.37897,-259.19495,1524.32349,-65.79063,38.69321,1268.92957,-815.52649,59.87252,1293.72681,301.63123,-100.58295,-2.55040,249.68239,197.61591,163.56360,-761.50134,248.46698,-3.40988,-892.83105,-110.88398,27.89723
81,0.667,929.48511,-258.25558,1521.83789,-67.62390,40.54255,1267.64807,-816.33368,60.23953,1290.44373,277.62640,-98.88111,-2.66300,280.78781,197.03377,160.56769,-785.58954,249.20695,-4.07300,-860.32642,-105.28449,31.26074
82,0.675,930.28326,-257.22284,1519.87134,-69.18999,42.27987,1266.87866,-817.03595,60.40661,1287.34595,253.52997,-97.14234,-2.70612,312.98682,196.06361,155.95944,-809.79779,249.90929,-4.64587,-828.70007,-98.81543,34.86675
83,0.683,930.85638,-256.15149,1518.38574,-70.51208,43.79196,1266.55591,-817.51019,60.38881,1284.55847,229.27452,-95.32529,-2.76907,346.19196,194.65118,149.81656,-834.21564,251.28021,-4.70689,-797.92462,-91.74061,38.32686
84,0.692,931.28546,-255.07262,1517.33118,-71.61731,45.00808,1266.64978,-817.65771,60.25880,1282.19897,204.85490,-93.45687,-2.85575,380.32047,192.62704,142.40771,-858.65308,253.21504,-4.42455,-767.68835,-84.19035,41.27700
85,0.700,931.64246,-253.98080,1516.65210,-72.51797,45.90004,1267.16785,-817.46143,60.10834,1280.38306,180.29999,-91.63705,-2.85056,415.23401,189.90695,134.23743,-882.90784,254.79054,-4.41537,-737.51294,-76.30453,43.48274
86,0.708,931.99078,-252.84535,1516.28894,-73.20361,46.46319,1268.13611,-817.03094,59.99902,1279.24048,155.64476,-89.96324,-2.65967,450.68991,186.53317,125.86605,-907.09656,255.58374,-4.85327,-706.99182,-68.35019,44.87344
87,0.717,932.38971,-251.63928,1516.17761,-73.63544,46.70282,1269.58069,-816.57690,59.96020,1278.88171,130.90961,-88.40704,-2.35457,486.36496,182.47795,117.63144,-931.50726,256.28497,-5.21452,-675.95801,-60.76558,45.65189
88,0.725,932.89716,-250.35693,1516.25110,-73.76166,46.63457,1271.51721,-816.29834,60.02062,1279.31897,106.08005,-86.82819,-2.09464,521.94208,177.61761,109.55346,-956.25238,257.91510,-4.91086,-644.43683,-54.03720,46.21075
89,0.733,933.56921,-249.00684,1516.44348,-73.54311,46.29273,1273.94397,-816.26428,60.20529,1280.45154,81.12796,-85.13601,-1.92852,557.25787,171.91890,101.47399,-981.24078,260.86667,-3.83438,-612.53168,-48.48832,46.84553
90,0.742,934.45715,-247.59972,1516.69092,-72.96467,45.73167,1276.83215,-816.38623,60.51173,1282.14514,56.04108,-83.34182,-1.76265,592.44452,165.54938,93.30841,-1006.34662,264.55396,-2.42745,-580.40955,-44.23330,47.68739
91,0.750,935.60419,-246.13730,1516.93054,-72.03498,45.00605,1280.12024,-816.48444,60.91852,1284.30420,30.82751,-81.46542,-1.51647,627.91913,158.94737,85.36977,-1031.49341,267.89819,-1.35820,-548.32257,-41.25810,48.81077
92,0.758,937.04291,-244.59415,1517.09717,-70.78574,44.14621,1283.72070,-816.37762,61.41375,1286.87585,5.51151,-79.51017,-1.22244,664.05774,152.94167,78.61022,-1056.67480,270.26614,-1.00779,-516.62671,-39.45271,50.17617
93,0.767,938.79065,-242.90775,1517.12146,-69.26781,43.15961,1287.52808,-815.94269,62.00883,1289.80957,-19.88013,-77.53370,-0.96771,700.42029,148.55960,74.21186,-1081.91113,271.75150,-1.29402,-485.88199,-38.63207,51.46300
94,0.775,940.84558,-240.99425,1516.93237,-67.53649,42.06274,1291.41724,-815.13336,62.73276,1293.01697,-45.30161,-75.66272,-0.79763,734.95251,146.38008,72.37299,-1107.12537,272.82455,-1.77283,-456.96368,-38.62123,52.05814
95,0.783,943.18713,-238.79099,1516.46863,-65.63141,40.90889,1295.23425,-813.97150,63.61317,1296.35498,-70.59204,-74.04535,-0.63213,764.29883,146.07898,71.44992,-1132.04114,274.18719,-1.59567,-430.94116,-39.32502,51.23451
96,0.792,945.78174,-236.32356,1515.69495,-63.57840,39.76804,1298.80005,-812.53479,64.65482,1299.63464,-95.35605,-72.78591,-0.14971,785.43469,146.77382,68.78017,-1156.14673,276.48026,0.27788,-408.67255,-40.71088,48.40797
97,0.800,948.58997,-233.74976,1514.60974,-61.41944,38.67669,1301.93420,-810.94684,65.83114,1302.65051,-118.95917,-71.83166,1.26061,797.20557,147.87375,62.67691,-1178.82910,279.71213,4.41127,-390.42294,-42.78320,43.44962
